word,original_word,severity,confidence,avg_toxicity,max_toxicity,median_toxicity,natural_usage_score,final_score,high_toxicity_percentage,sentences_analyzed,word_length,has_symbols,has_numbers,has_spaces
beanerhead,beaner,LOW,0.5521033996890764,0.4687340399541426,0.9870007038116456,0.5738763511180878,0.5521033996890764,0.5521033996890764,25.0,20,10,0,0,0
beanery,beaner,UNOFFENSIVE,0.8675312272517477,0.1243965909408871,0.5003435015678406,0.0259882267564535,0.1324687727482523,0.1324687727482523,0.0,20,7,0,0,0
beanerwad,beaner,UNOFFENSIVE,0.8,0.2067265330610098,0.860729455947876,0.0339975534006953,0.2203081314516021,0.2203081314516021,5.0,20,9,0,0,0
beanered,beaner,UNOFFENSIVE,0.8783804651960964,0.1000196590466657,0.5873536467552185,0.0095745823346078,0.1216195348039036,0.1216195348039036,0.0,20,8,0,0,0
beanerer,beaner,UNOFFENSIVE,0.8931115689064609,0.0725704054028028,0.6263296008110046,0.0023774259025231,0.1068884310935391,0.1068884310935391,0.0,20,8,0,0,0
beanerly,beaner,UNOFFENSIVE,0.9908829464460724,0.0082524842582643,0.0340415947139263,0.0025380117585882,0.0091170535539276,0.0091170535539276,0.0,20,8,0,0,0
beanerbag,beaner,LOW,0.5,0.3487638942198828,0.9953122138977052,0.3270784616470337,0.4069130964158103,0.4069130964158103,15.0,20,9,0,0,0
beanering,beaner,UNOFFENSIVE,0.8430525706312619,0.0929805525927804,0.9664703607559204,0.0150402057915925,0.1569474293687381,0.1569474293687381,5.0,20,9,0,0,0
beanerface,beaner,LOW,0.5,0.2848041971621569,0.9869500994682312,0.1371093280613422,0.3107103266625199,0.3107103266625199,15.0,20,10,0,0,0
beaneres,beaner,UNOFFENSIVE,0.8345529668440577,0.113818386598723,0.965284824371338,0.0020917291985824,0.1654470331559423,0.1654470331559423,5.0,20,8,0,0,0
beaner,beaner,UNOFFENSIVE,0.826377437125193,0.1411548874631989,0.8475854992866516,0.0139036015607416,0.173622562874807,0.173622562874807,5.0,20,6,0,0,0
beaners,beaners,UNOFFENSIVE,0.8,0.212838007954997,0.995281994342804,0.0430783350020647,0.240154504707898,0.240154504707898,15.0,20,7,0,0,0
beanersface,beaners,LOW,0.5,0.3069723635911942,0.7790282964706421,0.2717479914426803,0.3436106452345848,0.3436106452345848,0.0,20,11,0,0,0
beanersy,beaners,UNOFFENSIVE,0.846677079758374,0.1184066548652481,0.7830266952514648,0.0132541926577687,0.1533229202416259,0.1533229202416259,0.0,20,8,0,0,0
beanersed,beaners,UNOFFENSIVE,0.8528785773023264,0.1023930468858452,0.8407331705093384,0.0053742583841085,0.1471214226976735,0.1471214226976735,5.0,20,9,0,0,0
beanerswad,beaners,UNOFFENSIVE,0.8256353659322485,0.1583016834920272,0.5200760960578918,0.0912533812224865,0.1743646340677514,0.1743646340677514,0.0,20,10,0,0,0
beanerses,beaners,UNOFFENSIVE,0.8710182629298652,0.11057563968061,0.5399541854858398,0.0288031157106161,0.1289817370701348,0.1289817370701348,0.0,20,9,0,0,0
beanerss,beaners,UNOFFENSIVE,0.8,0.1629168505634879,0.9847951531410216,0.0172771061770617,0.2014127575053135,0.2014127575053135,5.0,20,8,0,0,0
beanersbag,beaners,LOW,0.5,0.3649907052749768,0.9979105591773988,0.118117831647396,0.3542208285769448,0.3542208285769448,15.0,20,10,0,0,0
beanerser,beaners,UNOFFENSIVE,0.8604754045413574,0.1074234400031855,0.7205362319946289,0.0100563608575612,0.1395245954586425,0.1395245954586425,0.0,20,9,0,0,0
beanershead,beaners,LOW,0.5216129130101762,0.4323145235539414,0.8913142085075378,0.5769759267568588,0.5216129130101762,0.5216129130101762,15.0,20,11,0,0,0
beanersly,beaners,UNOFFENSIVE,0.8552137439890066,0.0781631731573725,0.9672231078147888,0.0038868044503033,0.1447862560109933,0.1447862560109933,5.0,20,9,0,0,0
beanersing,beaners,UNOFFENSIVE,0.8785669955151388,0.0934318081388482,0.63017338514328,0.0078552702907472,0.1214330044848611,0.1214330044848611,0.0,20,10,0,0,0
cooner,coon,UNOFFENSIVE,0.8605460180330555,0.0960867586720269,0.8133885860443115,0.0015435605309903,0.1394539819669444,0.1394539819669444,5.0,20,6,0,0,0
cooned,coon,UNOFFENSIVE,0.8018383311969228,0.1687642604054417,0.9649933576583862,0.0013459226465784,0.1981616688030771,0.1981616688030771,15.0,20,6,0,0,0
cooning,coon,UNOFFENSIVE,0.9281959104415728,0.0556786343891872,0.379367858171463,0.0015337436925619,0.0718040895584272,0.0718040895584272,0.0,20,7,0,0,0
coons,coons,UNOFFENSIVE,0.8,0.2091064204927533,0.994565725326538,0.0158275854773819,0.2296687004715204,0.2296687004715204,20.0,20,5,0,0,0
coonhead,coon,LOW,0.5,0.3107053373329108,0.9806463718414308,0.1066099219024181,0.316470816154615,0.316470816154615,15.0,20,8,0,0,0
coones,coon,UNOFFENSIVE,0.8338614142744336,0.127820670127403,0.8870360851287842,0.0024752504541538,0.1661385857255664,0.1661385857255664,5.0,20,6,0,0,0
coonface,coon,UNOFFENSIVE,0.8,0.2140688735293224,0.9270175695419312,0.0623646099120378,0.2398524640453979,0.2398524640453979,10.0,20,8,0,0,0
coonbag,coon,UNOFFENSIVE,0.8,0.1895013965375255,0.9006497859954834,0.022906401194632,0.2106377368804532,0.2106377368804532,15.0,20,7,0,0,0
coon,coon,UNOFFENSIVE,0.8638300403754693,0.1138020489830523,0.6679014563560486,0.0036619486636482,0.1361699596245307,0.1361699596245307,0.0,20,4,0,0,0
coony,coon,UNOFFENSIVE,0.8159465979621745,0.1477684230660088,0.9049200415611268,0.0163344801403582,0.1840534020378254,0.1840534020378254,5.0,20,5,0,0,0
coonwad,coon,UNOFFENSIVE,0.8106651064089965,0.1678149486600887,0.8352086544036865,0.0170835298486053,0.1893348935910035,0.1893348935910035,10.0,20,7,0,0,0
coonly,coon,UNOFFENSIVE,0.9926175966649315,0.0055695653485599,0.0340115018188953,0.0021317131468094,0.0073824033350683,0.0073824033350683,0.0,20,6,0,0,0
coonsbag,coons,LOW,0.5,0.3273101396393031,0.8368203043937683,0.1883854400366544,0.336583746233955,0.336583746233955,15.0,20,8,0,0,0
coonswad,coons,UNOFFENSIVE,0.8,0.2418389194412157,0.9931199550628662,0.0063759388867765,0.246328128837049,0.246328128837049,15.0,20,8,0,0,0
coonss,coons,LOW,0.5,0.2821178395650349,0.995896816253662,0.0035510645247995,0.269925704721827,0.269925704721827,25.0,20,6,0,0,0
coonsly,coons,UNOFFENSIVE,0.8177096405741758,0.1341571600292809,0.9967318773269652,0.0070762522518634,0.1822903594258241,0.1822903594258241,10.0,20,7,0,0,0
coonser,coons,UNOFFENSIVE,0.8886821677407716,0.0628932299790903,0.7255368828773499,0.0034273532801307,0.1113178322592284,0.1113178322592284,0.0,20,7,0,0,0
coonshead,coons,LOW,0.5,0.4042580331151839,0.9406664967536926,0.3809923082590103,0.4509191620221827,0.4509191620221827,30.0,20,9,0,0,0
coonsed,coons,UNOFFENSIVE,0.8235126362898154,0.1271599119034362,0.9815707802772522,0.0067811284679919,0.1764873637101845,0.1764873637101845,10.0,20,7,0,0,0
coonses,coons,UNOFFENSIVE,0.8779890874424018,0.0727387775317765,0.7577729821205139,0.0086344927549362,0.1220109125575982,0.1220109125575982,0.0,20,7,0,0,0
coonsface,coons,UNOFFENSIVE,0.8,0.1886989142309175,0.8043078184127808,0.0231682118028402,0.2006005939206807,0.2006005939206807,10.0,20,9,0,0,0
coonsy,coons,UNOFFENSIVE,0.9031476169486996,0.0656814444984775,0.5681817531585693,0.0020844701211899,0.0968523830513004,0.0968523830513004,0.0,20,6,0,0,0
coonsing,coons,UNOFFENSIVE,0.8,0.2194341487833298,0.9937711358070374,0.0056572393514215,0.2327347746561281,0.2327347746561281,15.0,20,8,0,0,0
darkieer,darkie,UNOFFENSIVE,0.8524525593838188,0.108031363558257,0.777211606502533,0.0166915394365787,0.1475474406161811,0.1475474406161811,0.0,20,8,0,0,0
darkieed,darkie,UNOFFENSIVE,0.894001522208564,0.058853946137242,0.6873918175697327,0.0064897611737251,0.105998477791436,0.105998477791436,0.0,20,8,0,0,0
darkiely,darkie,UNOFFENSIVE,0.8544465582375415,0.0771336523233912,0.9859253764152528,0.0022690424229949,0.1455534417624585,0.1455534417624585,5.0,20,8,0,0,0
darkiees,darkie,UNOFFENSIVE,0.8673898952302989,0.1212351863912772,0.5824992656707764,0.0053968878928571,0.1326101047697011,0.1326101047697011,0.0,20,8,0,0,0
darkiebag,darkie,LOW,0.5309441101551056,0.4582140862941742,0.997229278087616,0.5209757685661316,0.5309441101551056,0.5309441101551056,25.0,20,9,0,0,0
darkies,darkie,UNOFFENSIVE,0.8203783756680787,0.1411864146590233,0.9052715301513672,0.0146087417379021,0.1796216243319213,0.1796216243319213,5.0,20,7,0,0,0
darkiey,darkie,UNOFFENSIVE,0.8607466708600987,0.0655992257001344,0.9896092414855956,0.003109565237537,0.1392533291399013,0.1392533291399013,5.0,20,7,0,0,0
